ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Source,family_id,parent_id,name_language,name_macro_family,name_micro_family,phylo,Language
savo1255,Savosavo,Papunesia,-9.13,159.81,savo1255,NA,doreco-savo1255,NA,NA,Savosavo,Savosavo,Savosavo,Savosavo,Savosavo
sout2856,Nafsan (South Efate),Papunesia,-17.7,168.38,sout2856,NA,doreco-sout2856,aust1307,sout3196,South Efate,Austronesian,South Efatic,South Efatic,Nafsan (South Efate)
sout3282,English (Southern England),Eurasia,53,-1,sout3282,NA,doreco-sout3282,indo1319,sout3281,Southern English,Indo-European,South-Central English,South-Central English,English (Southern England)
stan1290,French (Swiss),Eurasia,48,2,stan1290,NA,doreco-stan1290,indo1319,glob1239,French,Indo-European,Global French,Global French,French (Swiss)
sumi1235,Sümi,Eurasia,26,94.42,sumi1235,NA,doreco-sumi1235,sino1245,reng1253,Sumi Naga,Sino-Tibetan,Rengma-Simi,Rengma-Simi,Sümi
svan1243,Svan,Eurasia,42.91,42.59,svan1243,NA,doreco-svan1243,kart1248,kart1248,Svan,Kartvelian,Kartvelian,Kartvelian,Svan
taba1259,Tabasaran,Eurasia,42.02,47.84,taba1259,NA,doreco-taba1259,nakh1245,east2367,Tabasaran,Nakh-Daghestanian,Tabasaran-Aghul-Lezgi,Tabasaran-Aghul-Lezgi,Tabasaran
teop1238,Teop,Papunesia,-5.67,154.97,teop1238,NA,doreco-teop1238,aust1307,tinp1238,Teop,Austronesian,Tinputzic,Tinputzic,Teop
texi1237,Texistepec Popoluca,North America,17.89,-94.81,texi1237,NA,doreco-texi1237,mixe1284,gulf1238,Texistepec Popoluca,Mixe-Zoque,Gulf Zoque,Gulf Zoque,Texistepec Popoluca
trin1278,Mojeño Trinitario,South America,-15.33,-65.41,trin1278,NA,doreco-trin1278,araw1281,trin1274,Trinitario,Arawakan,Trinitario-Javeriano-Loretano,Trinitario-Javeriano-Loretano,Mojeño Trinitario
tsim1256,Asimjeeg Datooga,Africa,-3.42,35.43,tsim1256,NA,doreco-tsim1256,nilo1247,isim1234,Isimjeega,Nilotic,Isimjeega-Rootigaanga,Isimjeega-Rootigaanga,Asimjeeg Datooga
urum1249,Urum,Eurasia,42.04,43.99,urum1249,NA,doreco-urum1249,turk1311,crim1256,Urum,Turkic,Crimean Tatar-Urum,Crimean Tatar-Urum,Urum
vera1241,Vera'a,Papunesia,-13.89,167.43,vera1241,NA,doreco-vera1241,aust1307,leme1240,Vera'a,Austronesian,Lemerig-Veraa,Lemerig-Veraa,Vera'a
warl1254,Warlpiri,Australia,-20.1,131.05,warl1254,NA,doreco-warl1254,pama1250,ngar1289,Warlpiri,Pama-Nyungan,Yapa,Yapa,Warlpiri
yong1270,Yongning Na,Eurasia,27.8,100.9,yong1270,NA,doreco-yong1270,sino1245,nais1236,Narua,Sino-Tibetan,Naish,Naish,Yongning Na
yuca1254,Yucatec Maya,North America,18.78,-88.96,yuca1254,NA,doreco-yuca1254,maya1287,yuca1253,Yucatec Maya,Mayan,Yucatec-Lacandon,Yucatec-Lacandon,Yucatec Maya
yura1255,Yurakaré,South America,-16.75,-65.12,yura1255,NA,doreco-yura1255,NA,NA,Yuracaré,Yuracaré,Yuracaré,Yuracaré,Yurakaré
